noise_std,mean_final_error,std_final_error
0.000000,0.740248,0.000000
0.201005,0.790900,0.075512
0.402010,0.879028,0.144873
0.603015,0.992402,0.223173
0.804020,1.120939,0.311917
1.005025,1.258603,0.408059
1.206030,1.401984,0.508941
1.407035,1.549113,0.612856
1.608040,1.698819,0.718739
1.809045,1.850397,0.825892
2.010050,2.003425,0.933827
2.211055,2.157662,1.042185
2.412060,2.312977,1.150687
2.613065,2.469314,1.259116
2.814070,2.626659,1.367305
3.015075,2.785020,1.475135
3.216080,2.944412,1.582539
3.417085,3.104845,1.689494
3.618090,3.266320,1.796024
3.819095,3.428826,1.902193
4.020101,3.592340,2.008100
4.221106,3.756827,2.113866
4.422111,3.922245,2.219633
4.623116,4.088546,2.325551
4.824121,4.255681,2.431774
5.025126,4.423599,2.538456
5.226131,4.592251,2.645746
5.427136,4.761590,2.753785
5.628141,4.931575,2.862706
5.829146,5.102167,2.972633
6.030151,5.273331,3.083678
6.231156,5.445040,3.195943
6.432161,5.617270,3.309521
6.633166,5.790003,3.424493
6.834171,5.963227,3.540930
7.035176,6.136934,3.658895
7.236181,6.311122,3.778440
7.437186,6.485793,3.899610
7.638191,6.660956,4.022441
7.839196,6.836622,4.146961
8.040201,7.012807,4.273192
8.241206,7.189531,4.401149
8.442211,7.366816,4.530841
8.643216,7.544687,4.662272
8.844221,7.723169,4.795437
9.045226,7.902291,4.930331
9.246231,8.082081,5.066940
9.447236,8.262566,5.205244
9.648241,8.443773,5.345222
9.849246,8.625727,5.486841
10.050251,8.808452,5.630068
10.251256,8.991966,5.774858
10.452261,9.176287,5.921163
10.653266,9.361424,6.068925
10.854271,9.547385,6.218077
11.055276,9.734168,6.368546
11.256281,9.921767,6.520246
11.457286,10.110165,6.673084
11.658291,10.299339,6.826953
11.859296,10.489255,6.981739
12.060302,10.679869,7.137316
12.261307,10.871124,7.293547
12.462312,11.062954,7.450288
12.663317,11.255278,7.607386
12.864322,11.448004,7.764681
13.065327,11.641028,7.922010
13.266332,11.834235,8.079211
13.467337,12.027500,8.236121
13.668342,12.220694,8.392588
13.869347,12.413684,8.548469
14.070352,12.606339,8.703640
14.271357,12.798540,8.857996
14.472362,12.990186,9.011459
14.673367,13.181205,9.163979
14.874372,13.371564,9.315540
15.075377,13.561284,9.466153
15.276382,13.750450,9.615860
15.477387,13.939227,9.764724
15.678392,14.127867,9.912821
15.879397,14.316722,10.060231
16.080402,14.506249,10.207023
16.281407,14.697009,10.353248
16.482412,14.889665,10.498923
16.683417,15.084968,10.644034
16.884422,15.283736,10.788536
17.085427,15.486821,10.932370
17.286432,15.695069,11.075482
17.487437,15.909259,11.217860
17.688442,16.130041,11.359567
17.889447,16.357879,11.500771
18.090452,16.592981,11.641760
18.291457,16.835274,11.782939
18.492462,17.084379,11.924795
18.693467,17.339641,12.067847
18.894472,17.600171,12.212581
19.095477,17.864920,12.359391
19.296482,18.132761,12.508537
19.497487,18.402573,12.660122
19.698492,18.673303,12.814103
19.899497,18.944025,12.970313
20.100503,19.213965,13.128503
20.301508,19.482514,13.288377
20.502513,19.749224,13.449635
20.703518,20.013794,13.611992
20.904523,20.276052,13.775202
21.105528,20.535934,13.939066
21.306533,20.793463,14.103431
21.507538,21.048735,14.268196
21.708543,21.301911,14.433299
21.909548,21.553199,14.598716
22.110553,21.802859,14.764455
22.311558,22.051191,14.930545
22.512563,22.298535,15.097036
22.713568,22.545265,15.263984
22.914573,22.791785,15.431451
23.115578,23.038523,15.599493
23.316583,23.285918,15.768153
23.517588,23.534418,15.937454
23.718593,23.784458,16.107391
23.919598,24.036460,16.277921
24.120603,24.290811,16.448954
24.321608,24.547857,16.620344
24.522613,24.807887,16.791881
24.723618,25.071130,16.963277
24.924623,25.337742,17.134161
25.125628,25.607804,17.304066
25.326633,25.881315,17.472421
25.527638,26.158195,17.638546
25.728643,26.438284,17.801642
25.929648,26.721350,17.960799
26.130653,27.007091,18.114989
26.331658,27.295146,18.263083
26.532663,27.585107,18.403859
26.733668,27.876530,18.536031
26.934673,28.168950,18.658271
27.135678,28.461898,18.769253
27.336683,28.754915,18.867690
27.537688,29.047569,18.952393
27.738693,29.339477,19.022325
27.939698,29.630319,19.076664
28.140704,29.919856,19.114869
28.341709,30.207949,19.136751
28.542714,30.494577,19.142533
28.743719,30.779851,19.132912
28.944724,31.064032,19.109107
29.145729,31.347554,19.072895
29.346734,31.631041,19.026624
29.547739,31.915341,18.973194
29.748744,32.201553,18.916008
29.949749,32.491069,18.858890
30.150754,32.785590,18.805955
30.351759,33.087096,18.761476
30.552764,33.397704,18.729741
30.753769,33.719409,18.714937
30.954774,34.053884,18.721009
31.155779,34.402565,18.751414
31.356784,34.766985,18.808836
31.557789,35.148809,18.895034
31.758794,35.549351,19.010936
31.959799,35.968858,19.156827
32.160804,36.405937,19.332485
32.361809,36.857349,19.537160
32.562814,37.318333,19.769397
32.763819,37.783708,20.026769
32.964824,38.249666,20.305712
33.165829,38.715764,20.601636
33.366834,39.186163,20.909531
33.567839,39.669324,21.225185
33.768844,40.176126,21.546743
33.969849,40.717163,21.875377
34.170854,41.300437,22.213752
34.371859,41.930521,22.562928
34.572864,42.609550,22.920176
34.773869,43.339135,23.279120
34.974874,44.121762,23.631375
35.175879,44.960924,23.968565
35.376884,45.860104,24.284304
35.577889,46.821068,24.576049
35.778894,47.841938,24.846484
35.979899,48.915709,25.103774
36.180905,50.029999,25.360074
36.381910,51.168569,25.628498
36.582915,52.314262,25.919883
36.783920,53.452056,26.240924
36.984925,54.570903,26.594128
37.185930,55.663912,26.978845
37.386935,56.727387,27.392402
37.587940,57.759524,27.830860
37.788945,58.759361,28.289398
37.989950,59.726112,28.762423
38.190955,60.658865,29.243560
38.391960,61.556590,29.725734
38.592965,62.418313,30.201399
38.793970,63.243306,30.662919
38.994975,64.031213,31.103001
39.195980,64.782022,31.515029
39.396985,65.495989,31.893330
39.597990,66.173660,32.233477
39.798995,66.815814,32.532337
40.000000,67.423396,32.788077
